ID,DUP,First Name,Last Name,Marital Status,Race,DOB,SSN,Income,Credit Card Number,City,ZIP Code,Telephone Number
1003,1,Tyron,Rau,,White,5/25/1991,,NA,1915 3160 2544 39912,Washington DC,20004,956-224-0530
1003,0,Tyron,Rau,Married,White,5/25/1991,003-91-4610,48677.3,1915 3160 2544 9912,Washington DC,20004,956-224-0530
1011,1,Ethan,Claahke,Married,White,9/3/1981,638-11-0983,NA,2741 2201 8604 48890,Washington DC,20002,
1011,0,Ethan,Clarke,Married,White,9/3/1981,638-11-0983,204649.2,2741 2201 8604 4889,Washington DC,20002,234-995-5534
1013,0,Taliah,Staude,Married,White,6/24/1954,176-03-9379,166134.9,4029 4369 6201 0727,Washington DC,20018,313-519-3459
1017,0,Kiara,Kellow,Married,White,2/21/1957,305-22-0947,49913.3,1116 6409 0941 9097,Washington DC,20005,360-672-5947
1028,0,Gabrielle,Barbuto,Married,White,1/6/1974,655-87-0523,33234.6,9772 9935 9524 1541,Washington DC,20017,203-624-7611
1029,1,David,Mierix,Divorced,,11/27/1965,393-35-6457,NA,4957 4517 0307 9302,Washington DC,20005,
1029,0,David,Mierisch,Divorced,Hispanic,11/27/1965,393-35-6457,33719.8,4957 4517 0307 9302,Washington DC,20005,309-330-0160
1031,0,Carlin,Spagnoletti,Married,White,11/6/1952,124-68-9529,15420.3,2108 4575 5599 0074,Washington DC,20013,952-429-0387
1036,1,Jortan,Morrison,,White,5/23/1957,710-65-5932,NA,33010648 6409 2698,Washington DC,20007,774-992-8868
1036,0,Jordan,Morrison,Never Married,White,5/23/1957,710-65-5932,103754.2,3301 0648 6409 2698,Washington DC,20007,774-992-8868
1040,0,Marley,Webb,Never Married,Asian,5/27/1948,566-33-9955,41779.9,7512 2616 1227 2381,Washington DC,20006,570-630-8003
1041,1,Shena,Blake,,,8/24/1951,114-06-9553,69117.6,8526 58628 9194 0982,Washington DC,20003,947-246-0518
1041,0,Shenae,Blake,Never Married,White,8/24/1951,114-06-9553,69117.6,8526 5868 9194 0982,Washington DC,20003,947-246-0518
1043,1,Naomi,Tant,Married,,10/2/1997,,NA,9930 7932 905 5098,Washington DC,20009,813-232-0414
1043,0,Naomi,Tant,Married,White,10/2/1997,183-80-5211,117409.5,9930 7932 8905 5098,Washington DC,20009,813-232-0414
1049,0,Joshua,Doman,Divorced,White,6/6/1994,661-44-7209,63022.3,5030 9746 7605 8299,Washington DC,20010,540-291-6196
1054,1,Samuel,Fajri,Married,,1/10/1976,667-39-9373,NA,5422 3676 12408 7623,Washington DC,20018,
1054,0,Samuel,Fajri,Married,White,1/10/1976,667-39-9373,31798.9,5422 3676 1408 7623,Washington DC,20018,952-041-8887
1061,1,Jessica,Jaudzems,,,10/20/1964,392-37-1251,64475.8,1238 70106 5634 4485,Washington DC,20001,
1061,0,Jessica,Jaudzems,Never Married,White,10/20/1964,392-37-1251,64475.8,1238 7106 5634 4485,Washington DC,20001,847-634-0285
1070,0,Samuel,Gulliver,Never Married,Others,9/3/1989,127-48-9499,199468.6,9193 2249 0125 7873,Washington DC,20002,760-529-9679
1072,0,Imogen,Nguyen,Widowed,White,11/15/1972,529-03-3445,33707.9,3352 3677 6841 1914,Washington DC,20001,848-797-5553
1074,0,Clement,Stephenson,Married,White,4/25/1955,601-47-5785,46179.6,5737 1162 6115 7426,Washington DC,20015,616-936-4874
1075,0,Hannah,Marson,Married,Asian,7/25/1975,651-61-6201,41472.9,1616 9051 8953 6020,Washington DC,20006,435-634-0359
1076,0,Juliana,Fair,Never Married,White,8/26/1968,423-11-9607,55664.2,0190 3629 3614 0270,Washington DC,20012,272-826-2032
1079,0,Phoebe,Gold,Married,Asian,11/18/1958,507-73-3371,55439,6251 7189 6958 9467,Washington DC,20002,717-972-4719
1081,1,Eva,Shepherd,Married,,6/29/1968,,31277.9,4031 13307 1462 5691,Washington DC,20015,
1081,0,Eva,Shepherd,Married,White,6/29/1968,201-23-2603,31277.9,4031 1337 1462 5691,Washington DC,20015,435-949-5578
1082,0,William,Chittleborough,Never Married,Black,3/24/1986,054-80-4384,35376.7,6405 2570 9673 1305,Washington DC,20019,310-582-7182
1098,0,James,Sherriff,Married,Others,1/17/1960,344-05-8449,102403.6,0903 0575 8296 2606,Washington DC,20018,870-200-4488
11000,1,Bethani,Mak neill,Divorced,Hispanic,6/12/1975,,183761,3568 8794  6191 0251,Washington DC,20017,717-637-2276
11000,0,Bethany,Mac neill,Divorced,Hispanic,6/12/1975,683-04-7242,183761,3568 8794 6191 0251,Washington DC,20017,717-637-2276
11012,0,Emiily,Singleton,Never Married,White,10/11/1953,140-24-9748,58935.8,2264 0904 0457 2232,Washington DC,20004,931-971-7455
11020,0,Bianca,Glass,Married,White,7/21/1947,033-63-4089,36462.1,1204 4326 9893 3488,Washington DC,20016,512-973-7498
11021,0,Charles,Webb,Married,Hispanic,4/27/1995,632-46-7659,71495.1,9036 2093 6655 3097,Washington DC,20013,580-152-4463
11026,0,Adam,Noble,Never Married,White,5/6/1968,436-28-4524,96847.3,1403 2149 9879 1305,Washington DC,20010,610-509-7469
11028,0,Thomas,Campbell,Never Married,White,9/10/1967,360-64-2043,27914.1,5727 7151 6879 4851,Washington DC,20013,925-624-2571
11030,0,Caitlin,White,Married,White,2/8/1958,721-19-6511,55949.7,4397 2841 7164 6321,Washington DC,20015,973-425-3946
11031,0,Ellen,Wisby,Married,White,8/20/1976,023-85-0919,88745,4119 8674 2604 7632,Washington DC,20020,941-864-3147
11047,1,Yasmin,Neanter,,White,6/9/1986,082-46-3396,NA,0146 8344 783 3796,Washington DC,20013,502-441-9013
11047,0,Yasmin,Neander,Married,White,6/9/1986,082-46-3396,176537.3,0146 8344 7837 3796,Washington DC,20013,502-441-9013
11051,1,Liam,Azpinall,,White,4/14/1981,,NA,2041 4879 6955 7759,Washington DC,20002,443-043-6202
11051,0,Liam,Aspinall,Married,White,4/14/1981,690-35-5881,137709.5,2041 4879 6955 7759,Washington DC,20002,443-043-6202
11061,0,Ruby,Snoad,Divorced,Hispanic,5/22/1997,213-44-1299,52165.1,2474 7202 2708 7228,Washington DC,20010,239-496-6175
11062,0,Luke,Coulson,Never Married,White,9/27/1980,127-75-3339,57966.9,0471 4326 9242 5315,Washington DC,20001,585-822-5485
11068,0,Cooper,Thorpe,Married,White,7/19/1985,695-60-6769,63468.6,1353 9967 2349 1892,Washington DC,20009,512-992-7838
11069,0,Joel,Wynne,Never Married,White,2/3/1947,054-57-6581,42494.9,2564 9036 6785 9485,Washington DC,20018,508-753-4711
1107,1,Willian,White,Married,Black,3/21/1973,,75399.7,0030 1804 842 8265,Washington DC,20007,
1107,0,William,White,Married,Black,3/21/1973,164-29-7030,75399.7,0030 1804 8042 8265,Washington DC,20007,786-029-0851
11075,0,Tayla,Spakianos,Never Married,White,9/26/1974,071-48-6188,46766.7,6485 1404 2045 5080,Washington DC,20003,623-831-1215
11076,0,Samuel,Reid,Never Married,White,11/8/1986,514-77-8081,23612.4,8986 7661 7031 5170,Washington DC,20005,818-525-9772
11077,1,Sean,Steecl,Married,,9/20/1990,,NA,0011 3394 3794 3955,Washington DC,20002,610-233-6314
11077,0,Sean,Steed,Married,Hispanic,9/20/1990,096-40-6749,187514.9,0011 3394 3794 3955,Washington DC,20002,610-233-6314
11083,1,Daniek,Miles,Never Married,White,7/23/1989,,NA,9963 2513 06937 7301,Washington DC,20017,404-614-4439
11083,0,Daniel,Miles,Never Married,White,7/23/1989,282-55-8362,36452.7,9963 2513 6937 7301,Washington DC,20017,404-614-4439
1109,1,Katherine,Stephenson,Never Married,,3/12/1948,,35415.2,8785 521 0218 4315,Washington DC,20004,
1109,0,Katherine,Stephenson,Never Married,White,3/12/1948,262-73-2168,35415.2,8785 5271 0218 4315,Washington DC,20004,315-276-3611
11091,0,Imogen,Lowe,Married,White,10/11/1992,305-97-9184,92328,1365 9232 8731 8987,Washington DC,20010,574-310-3079
11100,1,Lusi,Saumi,Married,,12/11/1956,411-54-5700,NA,3810 6021 8225 7711,Washington DC,20006,
11100,0,Lucy,Saumi,Married,White,12/11/1956,411-54-5700,72118.8,3810 6021 8225 7711,Washington DC,20006,765-072-4369
11106,0,Jordan,Reid,Married,White,2/10/1994,125-03-1790,25922,0345 5891 2562 8637,Washington DC,20020,609-906-7158
11108,1,Giuseppi,Stephenson,Married,White,3/13/1955,,NA,68188 5547 8482 2221,Washington DC,20009,901-459-3081
11108,0,James,Stephenson,Married,White,3/13/1955,440-07-9651,26167.8,8188 5547 8482 2221,Washington DC,20009,901-459-3081
1111,1,Mikhael,Quilliam,,,9/10/1951,222-63-7590,66931.3,7769 8759 39942649,Washington DC,20004,813-860-9230
1111,0,Michael,Quilliam,Married,White,9/10/1951,222-63-7590,66931.3,7769 8759 3994 2649,Washington DC,20004,813-860-9230
11144,0,Claire,Abat,Married,Black,8/29/1961,516-67-9574,13367.5,5889 9552 2455 3048,Washington DC,20017,318-083-7511
11156,0,Lachlan,White,Married,Black,6/7/1990,507-60-7570,33768.5,8850 0627 6635 5920,Washington DC,20017,512-482-4536
11157,1,Moniqu,Keahmeen,Married,,10/28/1986,694-67-4733,43470.3,6070 2953 2943 5460,Washington DC,20019,
11157,0,Monique,Kermeen,Married,White,10/28/1986,694-67-4733,43470.3,6070 2953 2943 5460,Washington DC,20019,502-526-4854
11164,0,Benjamin,Van de kamp,Never Married,White,1/12/1973,349-39-3472,128550.2,4789 7678 6549 0030,Washington DC,20008,603-423-5601
11166,1,Rhiannon,Geoahge,Married,,4/7/1977,689-86-6429,NA,0550 14698 8787 8431,Washington DC,20004,534-683-1606
11166,0,Rhiannon,George,Married,White,4/7/1977,689-86-6429,97845.5,0550 1468 8787 8431,Washington DC,20004,534-683-1606
1117,0,Dylan,Kempe,Never Married,Hispanic,5/9/1969,438-94-5775,449378.9,1047 3683 5715 2455,Washington DC,20011,216-060-1806
11170,0,Lucas,Thorpe,Married,White,10/27/1997,140-40-1118,264776.5,6858 2958 5462 7955,Washington DC,20001,626-155-2356
11171,1,Antonio,Sulmah,,Hispanic,5/14/1982,,92861,8307 8633 6572 44304,Washington DC,20020,252-444-6622
11171,0,Antonio,Sulman,Never Married,Hispanic,5/14/1982,425-84-9162,92861,8307 8633 6572 4304,Washington DC,20020,252-444-6622
11175,0,Bayley,Mitton,Married,White,7/22/1955,017-32-5110,44883.2,9927 6988 1584 5421,Washington DC,20010,831-802-8938
11177,0,Jake,Mcgarrigan,Married,White,12/19/1973,704-80-2448,93721.8,1266 3090 2091 8590,Washington DC,20005,862-434-5328
11181,1,Luk,Bizhop,Married,Black,12/2/1994,642-59-6040,60347.3,2479 6762 87 25 6680,Washington DC,20011,
11181,0,Luke,Bishop,Married,Black,12/2/1994,642-59-6040,60347.3,2479 6762 8725 6680,Washington DC,20011,267-845-1708
11187,1,Alexander,Domuney,Widowed,,4/16/1965,,12920.9,4955 035 7689 8509,Washington DC,20009,323-491-2292
11187,0,Alexander,Dominey,Widowed,Black,4/16/1965,309-43-7980,12920.9,4955 0325 7689 8509,Washington DC,20009,323-491-2292
11202,1,Jessica,Setunary,,White,5/16/1952,,20185.3,0511 61495 8213 1138,Washington DC,20010,323-891-4982
11202,0,Jessica,Sedunary,Married,White,5/16/1952,243-41-8695,20185.3,0511 6195 8213 1138,Washington DC,20010,323-891-4982
11207,0,Lachlan,Kowtun,Widowed,White,2/6/1966,190-17-0717,67642.5,0830 6395 9710 9178,Washington DC,20015,380-181-7837
11211,0,Olivia,Madge,Never Married,White,10/14/1949,147-87-1914,33819.9,5504 2155 6967 0386,Washington DC,20009,708-157-7920
11220,0,Robbie,Blackwell,Never Married,White,3/21/1959,099-21-8737,26515.6,3438 8266 7762 2823,Washington DC,20016,907-572-3632
11223,0,Jade,White,Never Married,Others,6/24/1993,538-10-0295,31138.5,9621 0431 2323 3546,Washington DC,20002,973-273-7379
11226,0,Emiily,Ryan,Married,White,2/13/1951,682-15-8394,61938.7,4657 3230 7594 4530,Washington DC,20002,423-690-5250
11230,1,Matieda,Campton,Married,,6/16/1993,,NA,5262 4978 1434 1422,Washington DC,20002,714-160-6969
11230,0,Matilda,Campton,Married,Black,6/16/1993,503-38-3857,98477.3,5262 4978 1434 1422,Washington DC,20002,714-160-6969
11231,0,Joel,Tao,Never Married,White,4/2/1958,245-25-4225,93130.2,5135 3321 3440 4090,Washington DC,20013,609-225-4525
11253,1,Lauren,Stders,Never Married,,10/8/1977,,25915.1,82281576 7662 1236,Washington DC,20008,219-426-5388
11253,0,Lauren,Steers,Never Married,White,10/8/1977,087-20-2830,25915.1,8228 1576 7662 1236,Washington DC,20008,219-426-5388
11254,0,Oscar,Damhuis,Divorced,White,3/14/1950,388-91-0818,22936.1,4876 8170 3007 5358,Washington DC,20015,951-708-4818
11258,1,Michael,Hoank,Married,White,2/22/1989,594-64-7721,NA,5674 82153 3113 6665,Washington DC,20004,
11258,0,Michael,Hoang,Married,White,2/22/1989,594-64-7721,73163.4,5674 8215 3113 6665,Washington DC,20004,510-003-0004
11266,1,Benjamin,Boyl,,,12/15/1971,457-28-2806,56576.5,7810 9436 81021 0628,Washington DC,20013,252-940-4317
11266,0,Benjamin,Boyle,Married,White,12/15/1971,457-28-2806,56576.5,7810 9436 1021 0628,Washington DC,20013,252-940-4317
