ID,First Name,Last Name,Marital Status,Race,DOB,SSN,Income,Credit Card Number,ZIP Code,Telephone Number
rec-000-dup-0,Jarrod,Carpone,Never Married,,01/24/1979,,82034.3,3381 2739 640 4 2331,20001,775-761-5996
rec-000-org,Jarrod,Carbone,Never Married,White,01/24/1979,374-35-2222,82034.3,3381 2739 6404 2331,20001,775-761-5996
rec-001-org,Luke,Jaric,Married,Asian,07/10/1968,376-76-9849,10103.9,4886 2506 7467 0819,20022,623-267-1889
rec-002-dup-0,Kayne,Lonkurst,Married,Hispanic,08/08/1973,,,2025 01267554 3613,20006,417-283-2412
rec-002-org,Kayne,Longhurst,Married,Hispanic,08/08/1973,257-26-0201,31206.9,2025 0126 7554 3613,20006,417-283-2412
rec-003-dup-0,Tyron,Rau,,White,05/25/1991,,,1915 3160 2544 39912,20004,956-224-0530
rec-003-org,Tyron,Rau,Married,White,05/25/1991,003-91-4610,48677.3,1915 3160 2544 9912,20004,956-224-0530
rec-004-dup-0,Dominic,Crain,Never Married,,05/28/1991,,,9785 3511 6235 7931,20018,
rec-004-org,Dominic,Crain,Never Married,White,05/28/1991,302-66-0071,119793.9,9785 3511 6235 7931,20018,985-542-0608
rec-005-org,Daniel,Grimwade,Married,Asian,07/10/1954,614-55-6413,51146.0,7630 0951 2958 0709,20018,361-333-8315
rec-006-org,Harvey,Pascoe,Divorced,Black,05/15/1980,511-49-1782,49767.9,1967 3587 9147 6740,20013,804-482-6364
rec-007-org,Trevor,George,Never Married,White,08/11/1978,505-09-9675,38463.2,5099 4144 5487 5601,20020,828-723-6043
rec-008-org,Karissa,Campbell,Married,Others,06/26/1968,485-61-9666,33633.2,8457 2583 1046 5895,20002,212-681-1773
rec-009-org,Jayme,Beemster,Divorced,Black,12/11/1985,218-64-0190,41277.6,9004 8757 2275 7478,20004,724-021-2525
rec-010-org,Danielle,Spargo,Married,Hispanic,03/22/1972,713-36-9001,82251.2,3326 6300 7581 6399,20013,260-375-3044
rec-011-dup-0,Ethan,Claahke,Married,White,09/03/1981,638-11-0983,,2741 2201 8604 48890,20002,
rec-011-org,Ethan,Clarke,Married,White,09/03/1981,638-11-0983,204649.2,2741 2201 8604 4889,20002,234-995-5534
rec-012-dup-0,Trinity,Mcneil,Never Married,,05/08/1979,152-62-4083,,2934 2072 6042 3185,20015,
rec-012-org,Trinity,Mcneill,Never Married,White,05/08/1979,152-62-4083,66679.5,2934 2072 6042 3185,20015,520-544-8807
rec-013-org,Taliah,Staude,Married,White,06/24/1954,176-03-9379,166134.9,4029 4369 6201 0727,20018,313-519-3459
rec-014-org,Ben,Clarke,Married,White,10/02/1968,121-08-2155,29681.8,4656 6016 0778 9298,20013,417-999-9048
rec-015-org,Jaden,Gracie,Married,Hispanic,10/17/1968,098-28-0581,108696.2,7337 1448 3706 5925,20008,386-160-7226
rec-016-org,Kade,Dixon,Married,White,07/25/1950,396-98-8979,77497.7,0980 0683 9038 2675,20017,760-399-7958
rec-017-org,Kiara,Kellow,Married,White,02/21/1957,305-22-0947,49913.3,1116 6409 0941 9097,20005,360-672-5947
rec-018-org,Sophie,Rees,Married,Black,11/29/1972,300-84-6055,56720.8,4746 4021 4953 5761,20020,212-581-9289
rec-019-dup-0,Teagan,Burmwn,,,05/04/1954,557-50-7311,,7617 7808 8569 6403,20005,435-463-0240
rec-019-org,Teagan,Burman,Married,White,05/04/1954,557-50-7311,79066.0,7617 7808 8569 6403,20005,435-463-0240
rec-020-dup-0,Kyle,Colernan,,,10/09/1996,,23694.0,3522 2883 8661 2223,20004,669-225-2576
rec-020-org,Kyle,Coleman,Divorced,Others,10/09/1996,058-25-0502,23694.0,3522 2883 8661 2223,20004,669-225-2576
rec-021-org,Daniel,Campbell,Married,White,08/09/1965,103-73-6279,69935.5,0992 0503 8800 7429,20006,512-794-8800
rec-022-org,Luca,Havriluk,Married,Asian,01/13/1989,316-21-2577,95206.3,7637 6083 9327 6233,20010,269-819-0940
rec-023-dup-0,Amelia,Pr0cter,,,01/23/1951,704-55-0219,25528.2,8543 81535 9401 0153,20013,970-642-6973
rec-023-org,Amelia,Procter,Divorced,White,01/23/1951,704-55-0219,25528.2,8543 8153 9401 0153,20013,970-642-6973
rec-024-org,Rosie,Ryan,Divorced,White,08/09/1947,410-64-1841,46529.2,5681 3337 4622 6244,20006,415-709-8648
rec-025-dup-0,Lillianna,Neville,Divorced,Others,04/18/1962,,,2208 2035 95337221,20009,
rec-025-org,Lillianna,Neville,Divorced,Others,04/18/1962,120-54-7728,111051.9,2208 2035 9533 7221,20009,501-567-1551
rec-026-dup-0,Nadhan,Jevons,Never Married,,06/29/1973,450-44-3387,,1891 66958 4808 4137,20011,470-849-7077
rec-026-org,Nathan,Jevons,Never Married,White,06/29/1973,450-44-3387,92555.7,1891 6695 4808 4137,20011,470-849-7077
rec-027-org,Michael,Brock,Married,White,07/18/1981,665-31-0007,114946.8,4610 3421 0479 0735,20017,213-383-9910
rec-028-org,Gabrielle,Barbuto,Married,White,01/06/1974,655-87-0523,33234.6,9772 9935 9524 1541,20017,203-624-7611
rec-029-dup-0,David,Mierix,Divorced,,11/27/1965,393-35-6457,,4957 4517 0307 9302,20005,
rec-029-org,David,Mierisch,Divorced,Hispanic,11/27/1965,393-35-6457,33719.8,4957 4517 0307 9302,20005,309-330-0160
rec-030-org,Emiily,Vincent,Married,White,07/14/1952,176-35-0286,74236.8,9968 2679 1960 3932,20006,417-639-0720
rec-031-org,Carlin,Spagnoletti,Married,White,11/06/1952,124-68-9529,15420.3,2108 4575 5599 0074,20013,952-429-0387
rec-032-org,Ebony,Hague,Married,White,02/28/1991,187-71-3252,98531.3,0025 3652 8660 5166,20001,702-907-2453
rec-033-org,Byron,Reid,Widowed,Hispanic,11/24/1986,433-80-7146,99426.4,2103 1057 1333 6470,20020,805-787-3556
rec-034-org,Zac,Leicester,Never Married,Black,06/13/1965,596-93-8079,42027.7,3397 9398 2921 6215,20003,417-420-2912
rec-035-dup-0,William,Solito,,,11/22/1953,641-33-0142,,2741 1818 87308 5733,20002,930-279-1488
rec-035-org,William,Solito,Never Married,White,11/22/1953,641-33-0142,25587.6,2741 1818 8738 5733,20002,930-279-1488
rec-036-dup-0,Jortan,Morrison,,White,05/23/1957,710-65-5932,,33010648 6409 2698,20007,774-992-8868
rec-036-org,Jordan,Morrison,Never Married,White,05/23/1957,710-65-5932,103754.2,3301 0648 6409 2698,20007,774-992-8868
rec-037-org,Chloe,Landau,Married,White,08/06/1947,526-16-8241,65656.5,3628 9967 0688 4460,20004,440-099-5580
rec-038-dup-0,Anabel,Tu,,Asian,05/08/1953,404-72-9495,49433.6,90166 7054 6102 9050,20010,
rec-038-org,Annabel,Tu,Married,Asian,05/08/1953,404-72-9495,49433.6,9016 7054 6102 9050,20010,972-773-7088
rec-039-org,Hannah,Khider,Never Married,White,08/06/1953,370-38-6662,84196.1,2687 4661 8451 7978,20017,859-557-0809
rec-040-org,Marley,Webb,Never Married,Asian,05/27/1948,566-33-9955,41779.9,7512 2616 1227 2381,20006,570-630-8003
rec-041-dup-0,Shena,Blake,,,08/24/1951,114-06-9553,69117.6,8526 58628 9194 0982,20003,947-246-0518
rec-041-org,Shenae,Blake,Never Married,White,08/24/1951,114-06-9553,69117.6,8526 5868 9194 0982,20003,947-246-0518
rec-042-dup-0,Mdadison,Loee,Married,Asian,03/09/1995,124-31-9300,41201.2,0863 7757 08959 1014,20001,
rec-042-org,Maddison,Lowe,Married,Asian,03/09/1995,124-31-9300,41201.2,0863 7757 8959 1014,20001,781-637-0948
rec-043-dup-0,Naomi,Tant,Married,,10/02/1997,,,9930 7932 905 5098,20009,813-232-0414
rec-043-org,Naomi,Tant,Married,White,10/02/1997,183-80-5211,117409.5,9930 7932 8905 5098,20009,813-232-0414
rec-044-dup-0,Jame5,Matthewst,Married,Hispanic,09/21/1988,609-12-8395,,8166 918 2195 5934,20005,602-527-7218
rec-044-org,James,Matthews,Married,Hispanic,09/21/1988,609-12-8395,108078.6,8166 3918 2195 5934,20005,602-527-7218
rec-045-dup-0,Lulce,Homann,Never Married,,03/23/1981,698-38-1027,,3324 645 1033 6677,20011,857-531-6702
rec-045-org,Luke,Homann,Never Married,Black,03/23/1981,698-38-1027,73476.6,3324 6458 1033 6677,20011,857-531-6702
rec-046-dup-0,Beloa,Rid,Married,,07/11/1981,379-26-2762,,2928 0875 1311 5153,20018,413-892-7879
rec-046-org,Bella,Reid,Married,White,07/11/1981,379-26-2762,31601.3,2928 0875 1311 5153,20018,413-892-7879
rec-047-dup-0,Kaitlyn,Neumann,Married,White,12/16/1962,,,6860 0471 716 9881,20002,703-502-0153
rec-047-org,Kaitlin,Neumann,Married,White,12/16/1962,086-88-3723,72063.1,6860 0471 7186 9881,20002,703-502-0153
rec-048-org,Robin,Dixon,Never Married,White,06/26/1969,110-53-5097,55770.8,3894 3134 8195 6387,20004,240-869-7970
rec-049-org,Joshua,Doman,Divorced,White,06/06/1994,661-44-7209,63022.3,5030 9746 7605 8299,20010,540-291-6196
rec-050-dup-0,Madelin,White,Married,White,09/17/1951,,,4134 622 5921 2806,20016,718-469-6706
rec-050-org,Madeline,White,Married,White,09/17/1951,416-28-0729,116464.2,4134 6252 5921 2806,20016,718-469-6706
rec-051-org,Laura,Stolz,Divorced,Others,01/26/1980,633-03-2423,212540.5,4962 2261 5876 6138,20015,517-451-1264
rec-052-dup-0,Georgia,Mkully,,Black,10/26/1971,,158891.1,1885 4883 8144 8105,20012,
rec-052-org,Georgia,Mccully,Never Married,Black,10/26/1971,011-12-8909,158891.1,1885 4883 8144 8105,20012,361-915-9190
rec-053-org,Sophie,Murphy-dorsett,Married,Hispanic,05/17/1951,543-41-0522,54394.8,1955 3156 3054 4457,20006,862-802-7702
rec-054-dup-0,Samuel,Fajri,Married,,01/10/1976,667-39-9373,,5422 3676 12408 7623,20018,
rec-054-org,Samuel,Fajri,Married,White,01/10/1976,667-39-9373,31798.9,5422 3676 1408 7623,20018,952-041-8887
rec-055-dup-0,Ela,Bishop,,White,05/17/1959,485-89-8370,29082.8,0030 3644 394 4869,20018,
rec-055-org,Ella,Bishop,Never Married,White,05/17/1959,485-89-8370,29082.8,0030 3644 3944 4869,20018,909-519-5350
rec-056-org,Michael,Burman,Never Married,Black,10/16/1983,127-11-1678,53641.4,6443 4905 1848 8759,20011,430-258-1897
rec-057-dup-0,Thomas,Shepherdson,,White,04/26/1949,224-45-2588,,9402 89884 6702 4090,20002,
rec-057-org,Thomas,Shepherdson,Married,White,04/26/1949,224-45-2588,83771.6,9402 8988 6702 4090,20002,650-828-6975
rec-058-org,Henry,Goldsworthy,Married,White,06/27/1997,255-18-8504,77368.5,4288 6888 2584 2562,20020,762-556-5742
rec-059-dup-0,Cooper,Fager|und,Married,,10/06/1960,635-71-1890,,6170 5758 347 2044,20012,614-477-0263
rec-059-org,Cooper,Fagerlund,Married,Hispanic,10/06/1960,635-71-1890,142470.0,6170 5758 2347 2044,20012,614-477-0263
rec-060-dup-0,Amy,Shepherd,,White,06/11/1954,,83588.2,3903 4292 385 3957,20022,
rec-060-org,Amy,Shepherd,Married,White,06/11/1954,191-48-2586,83588.2,3903 4292 4385 3957,20022,616-770-0166
rec-061-dup-0,Jessica,Jaudzems,,,10/20/1964,392-37-1251,64475.8,1238 70106 5634 4485,20001,
rec-061-org,Jessica,Jaudzems,Never Married,White,10/20/1964,392-37-1251,64475.8,1238 7106 5634 4485,20001,847-634-0285
rec-062-org,Evan,Webb,Married,Hispanic,09/03/1995,576-24-3887,100090.6,6480 6783 2533 9042,20005,352-399-1212
rec-063-dup-0,Ethan,Sdumann,,White,06/03/1979,195-91-1033,,8147 1344 7220 24998,20007,980-243-7765
rec-063-org,Ethan,Stumann,Married,White,06/03/1979,195-91-1033,23668.8,8147 1344 7220 2498,20007,980-243-7765
rec-064-org,Isabella,Fenwick,Never Married,White,04/02/1988,196-20-5889,206380.6,6770 3394 6056 5840,20015,276-211-7332
rec-065-org,Faith,Mason,Married,White,11/11/1965,648-35-7338,147078.8,2810 8156 4216 3562,20005,703-531-2290
rec-066-dup-0,Lachlan,Noble,Never Married,Black,10/03/1952,,,4941 7194 77589 8584,20003,
rec-066-org,Lachlan,Noble,Never Married,Black,10/03/1952,293-90-0014,64734.9,4941 7194 7589 8584,20003,623-045-8479
rec-067-org,Shai,Ryan,Married,Black,01/12/1967,202-77-1510,118426.0,1644 8591 3717 1827,20016,601-151-5582
rec-068-org,Alannah,Menzies,Never Married,White,10/11/1971,717-62-8352,86946.8,4225 5048 6047 9649,20008,636-767-4270
rec-069-org,Aikaterina,Rickett,Married,Asian,12/16/1971,073-17-6472,73350.2,8806 1177 1003 1383,20008,971-445-4853
rec-070-org,Samuel,Gulliver,Never Married,Others,09/03/1989,127-48-9499,199468.6,9193 2249 0125 7873,20002,760-529-9679
rec-071-org,Lachlan,White,Never Married,Black,03/14/1981,360-22-1554,55747.7,5944 2456 0826 7491,20017,351-258-2539
rec-072-org,Imogen,Nguyen,Widowed,White,11/15/1972,529-03-3445,33707.9,3352 3677 6841 1914,20001,848-797-5553
rec-073-org,Emiily,Cochrane,Widowed,Hispanic,01/13/1958,013-48-9630,178344.2,2470 8280 8534 2276,20005,385-109-5436
rec-074-org,Clement,Stephenson,Married,White,04/25/1955,601-47-5785,46179.6,5737 1162 6115 7426,20015,616-936-4874
rec-075-org,Hannah,Marson,Married,Asian,07/25/1975,651-61-6201,41472.9,1616 9051 8953 6020,20006,435-634-0359
rec-076-org,Juliana,Fair,Never Married,White,08/26/1968,423-11-9607,55664.2,0190 3629 3614 0270,20012,272-826-2032
rec-077-org,Leon,Gavel,Divorced,White,02/23/1953,478-55-2428,64413.3,6315 0152 4045 3508,20016,217-769-8759
rec-078-org,Keegan,Sporn,Never Married,White,02/06/1986,471-18-1012,145574.4,2546 1663 9678 6140,20020,574-293-7746
rec-079-org,Phoebe,Gold,Married,Asian,11/18/1958,507-73-3371,55439.0,6251 7189 6958 9467,20002,717-972-4719
rec-080-dup-0,Lara,Bristow,Widowed,,05/11/1981,,170754.5,1005 8265 87521347,20012,
rec-080-org,Lara,Bristow,Widowed,Hispanic,05/11/1981,175-85-4060,170754.5,1005 8265 8752 1347,20012,930-760-7905
rec-081-dup-0,Eva,Shepherd,Married,,06/29/1968,,31277.9,4031 13307 1462 5691,20015,
rec-081-org,Eva,Shepherd,Married,White,06/29/1968,201-23-2603,31277.9,4031 1337 1462 5691,20015,435-949-5578
rec-082-org,William,Chittleborough,Never Married,Black,03/24/1986,054-80-4384,35376.7,6405 2570 9673 1305,20019,310-582-7182
rec-083-org,Lily,Pastore,Married,White,02/22/1977,575-78-2842,43046.2,2514 0109 8540 9518,20022,978-209-1708
rec-084-org,Lushia,Matthews,Married,White,01/14/1996,412-19-6571,95323.0,8915 9138 0870 9854,20022,267-351-0399
rec-085-dup-0,Regann,Barzen,Never Married,,09/03/1978,,241713.8,8667 88075 4543 2911,20004,240-800-6767
