ID,First Name,Last Name,Marital Status,Race,DOB,SSN,Income,Credit Card Number,ZIP Code,Telephone Number
rec-000-dup-0,Jarrod,Carpone,Never Married,,01/24/1979,,82034.3,3381 2739 640 4 2331,90001,775-761-5996
rec-000-org,Jarrod,Carbone,Never Married,White,01/24/1979,374-35-2222,82034.3,3381 2739 6404 2331,90001,775-761-5996
rec-001-org,Luke,Jaric,Married,Asian,07/10/1968,376-76-9849,10103.9,4886 2506 7467 0819,90009,623-267-1889
rec-002-dup-0,Kayne,Lonkurst,Married,Hispanic,08/08/1973,,,2025 01267554 3613,90014,417-283-2412
rec-002-org,Kayne,Longhurst,Married,Hispanic,08/08/1973,257-26-0201,31206.9,2025 0126 7554 3613,90014,417-283-2412
rec-003-dup-0,Tyron,Rau,,White,05/25/1991,,,1915 3160 2544 39912,90006,956-224-0530
rec-003-org,Tyron,Rau,Married,White,05/25/1991,003-91-4610,48677.3,1915 3160 2544 9912,90006,956-224-0530
rec-004-dup-0,Dominic,Crain,Never Married,,05/28/1991,,,9785 3511 6235 7931,90013,
rec-004-org,Dominic,Crain,Never Married,White,05/28/1991,302-66-0071,119793.9,9785 3511 6235 7931,90013,985-542-0608
rec-005-org,Daniel,Grimwade,Married,Asian,07/10/1954,614-55-6413,51146.0,7630 0951 2958 0709,90013,361-333-8315
rec-006-org,Harvey,Pascoe,Divorced,Black,05/15/1980,511-49-1782,49767.9,1967 3587 9147 6740,90019,804-482-6364
rec-007-org,Trevor,George,Never Married,White,08/11/1978,505-09-9675,38463.2,5099 4144 5487 5601,90008,828-723-6043
rec-008-org,Karissa,Campbell,Married,Others,06/26/1968,485-61-9666,33633.2,8457 2583 1046 5895,90001,212-681-1773
rec-009-org,Jayme,Beemster,Divorced,Black,12/11/1985,218-64-0190,41277.6,9004 8757 2275 7478,90005,724-021-2525
rec-010-org,Danielle,Spargo,Married,Hispanic,03/22/1972,713-36-9001,82251.2,3326 6300 7581 6399,90019,260-375-3044
rec-011-dup-0,Ethan,Claahke,Married,White,09/03/1981,638-11-0983,,2741 2201 8604 48890,90001,
rec-011-org,Ethan,Clarke,Married,White,09/03/1981,638-11-0983,204649.2,2741 2201 8604 4889,90001,234-995-5534
rec-012-dup-0,Trinity,Mcneil,Never Married,,05/08/1979,152-62-4083,,2934 2072 6042 3185,90003,
rec-012-org,Trinity,Mcneill,Never Married,White,05/08/1979,152-62-4083,66679.5,2934 2072 6042 3185,90003,520-544-8807
rec-013-org,Taliah,Staude,Married,White,06/24/1954,176-03-9379,166134.9,4029 4369 6201 0727,90013,313-519-3459
rec-014-org,Ben,Clarke,Married,White,10/02/1968,121-08-2155,29681.8,4656 6016 0778 9298,90019,417-999-9048
rec-015-org,Jaden,Gracie,Married,Hispanic,10/17/1968,098-28-0581,108696.2,7337 1448 3706 5925,90016,386-160-7226
rec-016-org,Kade,Dixon,Married,White,07/25/1950,396-98-8979,77497.7,0980 0683 9038 2675,90003,760-399-7958
rec-017-org,Kiara,Kellow,Married,White,02/21/1957,305-22-0947,49913.3,1116 6409 0941 9097,90004,360-672-5947
rec-018-org,Sophie,Rees,Married,Black,11/29/1972,300-84-6055,56720.8,4746 4021 4953 5761,90008,212-581-9289
rec-019-dup-0,Teagan,Burmwn,,,05/04/1954,557-50-7311,,7617 7808 8569 6403,90004,435-463-0240
rec-019-org,Teagan,Burman,Married,White,05/04/1954,557-50-7311,79066.0,7617 7808 8569 6403,90004,435-463-0240
